Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,5170.0,5260.0,5120.0,5260.0,4791.1962890625,75450000
2018-12-07,5190.0,5210.0,5160.0,5190.0,4727.4345703125,71070000
2018-12-10,5120.0,5205.0,5120.0,5180.0,4718.32666015625,81221000
2018-12-11,5130.0,5200.0,5125.0,5160.0,4700.1083984375,93017000
2018-12-12,5190.0,5190.0,5130.0,5165.0,4704.6630859375,121623000
2018-12-13,5200.0,5205.0,5145.0,5165.0,4704.6630859375,84280500
2018-12-14,5160.0,5180.0,5140.0,5165.0,4704.6630859375,184435000
2018-12-17,5185.0,5200.0,5150.0,5165.0,4704.6630859375,101438500
2018-12-18,5100.0,5115.0,4980.0,5065.0,4613.5751953125,132039000
2018-12-19,5040.0,5230.0,5040.0,5230.0,4763.86962890625,102220500
2018-12-20,5120.0,5170.0,5070.0,5115.0,4659.119140625,94455000
2018-12-21,5040.0,5175.0,5040.0,5170.0,4709.216796875,89979500
2018-12-24,5170.0,5170.0,5170.0,5170.0,4709.216796875,0
2018-12-25,5170.0,5170.0,5170.0,5170.0,4709.216796875,0
2018-12-26,5170.0,5225.0,5140.0,5225.0,4759.31591796875,66511500
2018-12-27,5240.0,5255.0,5180.0,5195.0,4731.98876953125,50265500
2018-12-28,5195.0,5240.0,5180.0,5200.0,4736.5439453125,54467500
2018-12-31,5200.0,5200.0,5200.0,5200.0,4736.5439453125,0
2019-01-01,5200.0,5200.0,5200.0,5200.0,4736.5439453125,0
2019-01-02,5200.0,5245.0,5200.0,5240.0,4772.97900390625,35956000
2019-01-03,5200.0,5220.0,5115.0,5180.0,4718.32666015625,72358000
2019-01-04,5175.0,5205.0,5125.0,5205.0,4741.09765625,51465000
2019-01-07,5265.0,5325.0,5245.0,5245.0,4777.533203125,73438000
2019-01-08,5230.0,5320.0,5205.0,5240.0,4772.97900390625,66247500
2019-01-09,5300.0,5320.0,5225.0,5255.0,4786.6416015625,84871000
2019-01-10,5300.0,5300.0,5190.0,5255.0,4786.6416015625,114314500
2019-01-11,5280.0,5300.0,5235.0,5250.0,4782.08740234375,84826500
2019-01-14,5220.0,5235.0,5150.0,5200.0,4736.5439453125,87547500
2019-01-15,5230.0,5260.0,5190.0,5260.0,4791.1962890625,87763000
2019-01-16,5260.0,5285.0,5245.0,5285.0,4813.96875,94972500
2019-01-17,5290.0,5330.0,5285.0,5330.0,4854.95751953125,91654000
2019-01-18,5340.0,5425.0,5315.0,5425.0,4941.49072265625,100873500
2019-01-21,5425.0,5600.0,5390.0,5545.0,5050.79541015625,87118000
2019-01-22,5600.0,5620.0,5450.0,5600.0,5100.89404296875,91907000
2019-01-23,5600.0,5600.0,5475.0,5500.0,5009.806640625,98512500
2019-01-24,5430.0,5485.0,5355.0,5460.0,4973.37158203125,106781000
2019-01-25,5400.0,5520.0,5400.0,5500.0,5009.806640625,68944000
2019-01-28,5515.0,5515.0,5475.0,5495.0,5005.25146484375,69704000
2019-01-29,5445.0,5550.0,5440.0,5540.0,5046.2412109375,77679000
2019-01-30,5560.0,5560.0,5495.0,5520.0,5028.02294921875,76285000
2019-01-31,5520.0,5640.0,5520.0,5635.0,5132.77392578125,135904500
2019-02-01,5680.0,5750.0,5560.0,5635.0,5132.77392578125,57719500
2019-02-04,5635.0,5635.0,5500.0,5500.0,5009.806640625,113846500
2019-02-05,5500.0,5500.0,5500.0,5500.0,5009.806640625,0
2019-02-06,5500.0,5540.0,5495.0,5535.0,5041.68603515625,121996500
2019-02-07,5535.0,5535.0,5505.0,5530.0,5037.1328125,63697500
2019-02-08,5530.0,5535.0,5500.0,5520.0,5028.02294921875,65268500
2019-02-11,5520.0,5530.0,5460.0,5495.0,5005.25146484375,37639000
2019-02-12,5530.0,5530.0,5450.0,5460.0,4973.37158203125,95883500
2019-02-13,5460.0,5490.0,5410.0,5420.0,4936.93603515625,103115500
2019-02-14,5405.0,5405.0,5380.0,5380.0,4900.5009765625,108738500
2019-02-15,5360.0,5410.0,5335.0,5360.0,4882.2841796875,81340000
2019-02-18,5410.0,5500.0,5410.0,5480.0,4991.58935546875,62991000
2019-02-19,5420.0,5480.0,5380.0,5380.0,4900.5009765625,64469000
2019-02-20,5450.0,5595.0,5440.0,5500.0,5009.806640625,89583000
2019-02-21,5540.0,5560.0,5470.0,5505.0,5014.35986328125,54561500
2019-02-22,5475.0,5525.0,5460.0,5490.0,5000.69677734375,48271500
2019-02-25,5490.0,5500.0,5455.0,5490.0,5000.69677734375,47887000
2019-02-26,5500.0,5555.0,5495.0,5555.0,5059.90380859375,98446000
2019-02-27,5565.0,5570.0,5545.0,5565.0,5069.0126953125,78519500
2019-02-28,5570.0,5580.0,5510.0,5515.0,5023.46923828125,99366000
2019-03-01,5565.0,5600.0,5535.0,5540.0,5046.2412109375,72589500
2019-03-04,5520.0,5540.0,5515.0,5535.0,5041.68603515625,63910500
2019-03-05,5500.0,5505.0,5440.0,5495.0,5005.25146484375,46499500
2019-03-06,5555.0,5555.0,5490.0,5490.0,5000.69677734375,37777000
2019-03-07,5490.0,5490.0,5490.0,5490.0,5000.69677734375,0
2019-03-08,5545.0,5570.0,5440.0,5440.0,4955.15380859375,61126000
2019-03-11,5530.0,5530.0,5460.0,5505.0,5014.35986328125,32469000
2019-03-12,5540.0,5540.0,5450.0,5500.0,5009.806640625,40178500
2019-03-13,5450.0,5505.0,5450.0,5500.0,5009.806640625,17722000
2019-03-14,5450.0,5495.0,5450.0,5480.0,4991.58935546875,41096000
2019-03-15,5520.0,5545.0,5485.0,5540.0,5046.2412109375,41759500
2019-03-18,5555.0,5560.0,5535.0,5550.0,5055.349609375,42791000
2019-03-19,5540.0,5545.0,5485.0,5490.0,5000.69677734375,51527000
2019-03-20,5540.0,5555.0,5465.0,5470.0,4982.4794921875,42388500
2019-03-21,5490.0,5520.0,5465.0,5475.0,4987.033203125,39866000
2019-03-22,5465.0,5500.0,5465.0,5485.0,4996.14306640625,29601000
2019-03-25,5440.0,5500.0,5440.0,5455.0,4968.81640625,23054500
2019-03-26,5480.0,5510.0,5455.0,5470.0,4982.4794921875,19895500
2019-03-27,5510.0,5510.0,5460.0,5485.0,4996.14306640625,17804500
2019-03-28,5460.0,5485.0,5425.0,5470.0,4982.4794921875,32187500
2019-03-29,5515.0,5530.0,5460.0,5510.0,5018.9140625,36234000
2019-04-01,5550.0,5550.0,5480.0,5500.0,5009.806640625,21786000
2019-04-02,5530.0,5570.0,5480.0,5500.0,5009.806640625,36853000
2019-04-03,5500.0,5500.0,5500.0,5500.0,5009.806640625,0
2019-04-04,5540.0,5560.0,5490.0,5540.0,5046.2412109375,48112000
2019-04-05,5560.0,5560.0,5525.0,5530.0,5037.1328125,21913500
2019-04-08,5505.0,5540.0,5450.0,5480.0,4991.58935546875,39910000
2019-04-09,5535.0,5550.0,5515.0,5535.0,5041.68603515625,29447000
2019-04-10,5550.0,5555.0,5515.0,5525.0,5032.578125,19508500
2019-04-11,5560.0,5560.0,5480.0,5480.0,4991.58935546875,25356000
2019-04-12,5460.0,5510.0,5460.0,5500.0,5009.806640625,18577000
2019-04-15,5560.0,5570.0,5490.0,5505.0,5014.35986328125,68152000
2019-04-16,5495.0,5505.0,5475.0,5495.0,5005.25146484375,71017000
2019-04-17,5495.0,5495.0,5495.0,5495.0,5005.25146484375,0
2019-04-18,5600.0,5805.0,5580.0,5625.0,5123.66552734375,129332500
2019-04-19,5625.0,5625.0,5625.0,5625.0,5123.66552734375,0
2019-04-22,5625.0,5680.0,5585.0,5625.0,5123.66552734375,62837500
2019-04-23,5680.0,5710.0,5595.0,5630.0,5128.21923828125,48654000
2019-04-24,5640.0,5640.0,5600.0,5630.0,5175.0986328125,46975000
2019-04-25,5535.0,5620.0,5525.0,5595.0,5142.92626953125,61482500
2019-04-26,5585.0,5645.0,5570.0,5620.0,5165.90673828125,66204500
2019-04-29,5610.0,5695.0,5595.0,5685.0,5225.654296875,65480500
2019-04-30,5670.0,5760.0,5670.0,5750.0,5285.40234375,107607500
2019-05-01,5750.0,5750.0,5750.0,5750.0,5285.40234375,0
2019-05-02,5800.0,5810.0,5675.0,5685.0,5225.654296875,80879500
2019-05-03,5680.0,5750.0,5615.0,5675.0,5216.46240234375,58244500
2019-05-06,5600.0,5660.0,5595.0,5620.0,5165.90673828125,36649500
2019-05-07,5675.0,5710.0,5650.0,5660.0,5202.6748046875,59177000
2019-05-08,5600.0,5700.0,5595.0,5700.0,5239.44287109375,59062000
2019-05-09,5700.0,5700.0,5625.0,5630.0,5175.0986328125,126636500
2019-05-10,5610.0,5680.0,5600.0,5610.0,5156.7138671875,76130500
2019-05-13,5680.0,5695.0,5600.0,5610.0,5156.7138671875,63720500
2019-05-14,5560.0,5630.0,5495.0,5495.0,5051.00634765625,114800500
2019-05-15,5555.0,5555.0,5445.0,5460.0,5018.8349609375,72065000
2019-05-16,5460.0,5480.0,5280.0,5280.0,4853.37841796875,87939000
2019-05-17,5280.0,5310.0,5180.0,5180.0,4761.45849609375,74207000
2019-05-20,5180.0,5390.0,5140.0,5380.0,4945.29833984375,54764500
2019-05-21,5470.0,5495.0,5400.0,5460.0,5018.8349609375,97371000
2019-05-22,5530.0,5530.0,5400.0,5460.0,5018.8349609375,38519000
2019-05-23,5440.0,5605.0,5340.0,5605.0,5152.11865234375,54926000
2019-05-24,5610.0,5630.0,5605.0,5610.0,5156.7138671875,37402000
2019-05-27,5535.0,5700.0,5530.0,5685.0,5225.654296875,68564000
2019-05-28,5655.0,5770.0,5655.0,5735.0,5271.61328125,209923000
2019-05-29,5800.0,5895.0,5730.0,5740.0,5276.2109375,133044500
2019-05-30,5740.0,5740.0,5740.0,5740.0,5276.2109375,0
2019-05-31,5740.0,5870.0,5735.0,5820.0,5349.74609375,96875000
2019-06-03,5820.0,5820.0,5820.0,5820.0,5349.74609375,0
2019-06-04,5820.0,5820.0,5820.0,5820.0,5349.74609375,0
2019-06-05,5820.0,5820.0,5820.0,5820.0,5349.74609375,0
2019-06-06,5820.0,5820.0,5820.0,5820.0,5349.74609375,0
2019-06-07,5820.0,5820.0,5820.0,5820.0,5349.74609375,0
2019-06-10,6000.0,6190.0,5810.0,5880.0,5404.89892578125,179238000
2019-06-11,5900.0,5960.0,5845.0,5910.0,5432.47412109375,72901000
2019-06-12,5840.0,5900.0,5820.0,5845.0,5372.72705078125,69255500
2019-06-13,5885.0,5885.0,5790.0,5805.0,5335.95849609375,78802500
2019-06-14,5845.0,5845.0,5790.0,5800.0,5331.36328125,57220500
2019-06-17,5810.0,5840.0,5790.0,5795.0,5326.7666015625,83624000
2019-06-18,5795.0,5900.0,5795.0,5900.0,5423.28173828125,78788000
2019-06-19,5900.0,5960.0,5890.0,5940.0,5460.05078125,66944500
2019-06-20,5900.0,5940.0,5805.0,5910.0,5432.47412109375,59504500
2019-06-21,5910.0,5935.0,5840.0,5880.0,5404.89892578125,144149000
2019-06-24,5895.0,5900.0,5865.0,5875.0,5400.302734375,30084000
2019-06-25,5930.0,5960.0,5875.0,5910.0,5432.47412109375,40561500
2019-06-26,5940.0,5940.0,5860.0,5865.0,5391.1103515625,59334500
2019-06-27,5850.0,5935.0,5805.0,5935.0,5455.4541015625,77525000
2019-06-28,5980.0,5995.0,5960.0,5995.0,5510.6064453125,80919000
2019-07-01,5995.0,6025.0,5965.0,5990.0,5506.0107421875,56612500
2019-07-02,5990.0,6000.0,5950.0,6000.0,5515.2021484375,48563500
2019-07-03,5950.0,6000.0,5940.0,6000.0,5515.2021484375,43640000
2019-07-04,6000.0,6010.0,5965.0,5990.0,5506.0107421875,28224500
2019-07-05,6020.0,6020.0,5970.0,5970.0,5487.62646484375,32722500
2019-07-08,5935.0,5960.0,5865.0,5880.0,5404.89892578125,38361000
2019-07-09,5870.0,6000.0,5870.0,6000.0,5515.2021484375,47740500
2019-07-10,6000.0,6040.0,5995.0,6000.0,5515.2021484375,52183500
2019-07-11,6020.0,6025.0,5980.0,6025.0,5538.18310546875,34279500
2019-07-12,6000.0,6030.0,5995.0,6010.0,5524.39453125,29838000
2019-07-15,6060.0,6115.0,6035.0,6105.0,5611.71923828125,61453500
2019-07-16,6080.0,6105.0,6070.0,6085.0,5593.3349609375,38075000
2019-07-17,6080.0,6150.0,6045.0,6150.0,5653.08251953125,45487000
2019-07-18,6100.0,6170.0,6055.0,6145.0,5648.4873046875,43625500
2019-07-19,6195.0,6210.0,6150.0,6200.0,5699.04296875,43973500
2019-07-22,6260.0,6290.0,6200.0,6290.0,5781.7705078125,37314500
2019-07-23,6240.0,6290.0,6205.0,6235.0,5731.21533203125,39129500
2019-07-24,6260.0,6265.0,6165.0,6250.0,5745.00244140625,51343500
2019-07-25,6270.0,6275.0,6200.0,6250.0,5745.00244140625,53477500
2019-07-26,6250.0,6250.0,6190.0,6195.0,5694.447265625,51797500
2019-07-29,6220.0,6230.0,6160.0,6190.0,5689.85107421875,68509500
2019-07-30,6205.0,6250.0,6190.0,6220.0,5717.42724609375,38225500
2019-07-31,6190.0,6240.0,6180.0,6190.0,5689.85107421875,64129000
2019-08-01,6190.0,6270.0,6185.0,6210.0,5708.234375,78228000
2019-08-02,6160.0,6205.0,6160.0,6165.0,5666.87060546875,62989500
2019-08-05,6215.0,6215.0,6000.0,6000.0,5515.2021484375,90924000
2019-08-06,5880.0,5955.0,5765.0,5880.0,5404.89892578125,183296000
2019-08-07,5975.0,6050.0,5905.0,6010.0,5524.39453125,92102000
2019-08-08,6010.0,6080.0,5980.0,6005.0,5519.79833984375,58295500
2019-08-09,6055.0,6120.0,6055.0,6065.0,5574.95068359375,48118500
2019-08-12,6070.0,6080.0,6000.0,6040.0,5551.970703125,52705000
2019-08-13,6000.0,6040.0,6000.0,6015.0,5528.99072265625,84406000
2019-08-14,6040.0,6060.0,5980.0,6010.0,5524.39453125,81942000
2019-08-15,5920.0,6000.0,5860.0,6000.0,5515.2021484375,52561500
2019-08-16,6040.0,6040.0,5960.0,5960.0,5478.43408203125,49821500
2019-08-19,6030.0,6030.0,5965.0,6015.0,5528.99072265625,30619000
2019-08-20,6035.0,6035.0,5985.0,5985.0,5501.4150390625,58393500
2019-08-21,6000.0,6005.0,5975.0,5975.0,5492.22265625,55927500
2019-08-22,5925.0,6000.0,5920.0,6000.0,5515.2021484375,65888000
2019-08-23,5920.0,5995.0,5905.0,5995.0,5510.6064453125,33083500
2019-08-26,5940.0,6000.0,5860.0,5990.0,5506.0107421875,41388500
2019-08-27,6040.0,6040.0,5950.0,6005.0,5519.79833984375,123780000
2019-08-28,6000.0,6020.0,5985.0,5995.0,5510.6064453125,55688000
2019-08-29,5990.0,6025.0,5985.0,6005.0,5519.79833984375,51525500
2019-08-30,6080.0,6100.0,6005.0,6100.0,5607.123046875,73650000
2019-09-02,6100.0,6100.0,6000.0,6000.0,5515.2021484375,42429000
2019-09-03,6000.0,6055.0,6000.0,6055.0,5565.75927734375,42743500
2019-09-04,6060.0,6060.0,6005.0,6020.0,5533.58740234375,41979000
2019-09-05,6085.0,6085.0,6015.0,6040.0,5551.970703125,53650500
2019-09-06,6060.0,6060.0,6025.0,6025.0,5538.18310546875,54349000
2019-09-09,6050.0,6055.0,5980.0,6035.0,5547.3740234375,25912000
2019-09-10,6020.0,6055.0,5985.0,6055.0,5565.75927734375,40291000
2019-09-11,6050.0,6100.0,6010.0,6100.0,5607.123046875,45243500
2019-09-12,6100.0,6105.0,6010.0,6020.0,5533.58740234375,40034000
2019-09-13,6080.0,6090.0,6010.0,6030.0,5542.77880859375,28419500
2019-09-16,6000.0,6015.0,5985.0,6005.0,5519.79833984375,77289000
